move_name,category,Categorization,Points,,,move_name_Portuguese,category_Portuguese,Categorization_Portuguese
Clock Choke,Choke,Submission,0,,,Estrangulamento Relógio,Estrangulamento,Finalização
Cow Catcher,Takedown,Takedown,2,,,Pegador de Vaca,Queda,Queda
Cross Collar Choke,Choke,Submission,0,,,Estrangulamento Cruzado,Estrangulamento,Finalização
Darce,Strangle,Submission,0,,,Darce,Estrangulamento,Finalização
Dead Orchard,Joint Lock,Submission,0,,,Pomar Morto,Finalização,Finalização
Deep Half Guard,Position,Bottom Position,0,,,Meia Guarda Profunda,Posição,Posição Inferior
Del La Riva,Position,Bottom Position,0,,,Del La Riva,Posição,Posição Inferior
Double Leg,Takedown,Takedown,2,,,Baiana,Queda,Queda
Double Under Pass,Transition,Passing,3,,,Passagem de Bandeja,Transição,Passagem
Duck Under,Takedown,Takedown,2,,,Mergulho,Queda,Queda
Electric Chair Sweep,Transition,Sweep,2,,,Raspagem da Cadeira Eletrica,Transição,Raspagem
Estima Lock,Leg Lock,Submission,0,,,Bloqueio de Estimativa,Chave de Perna,Finalização
Ezekiel,Choke,Submission,0,,,Estrangulamento Ezequiel ,Estrangulamento,Finalização
False Reap,Transition,Leg Entry,0,,,Reap Falso,Transição,Entrada de Perna
Fireman's Carry,Takedown,Takedown,2,,,Transporte de Bombeiro,Queda,Queda
Flying Arm Bar,Joint Lock,Submission,0,,,Chave de Braço Voadora,Chave de Articulação,Finalização
Flying Scissor,Takedown,Takedown,2,,,Tesoura Voadora,Queda,Queda
Foot Sweep,Takedown,Takedown,2,,,Varredura com Pé,Queda,Queda
Front Collar Choke,Choke,Submission,0,,,Estrangulamento Frontal,Estrangulamento,Finalização
Front Head,Position,Top Position,0,,,Cabeça Frontal,Posição,Posição Superior
Gogoplata,Choke,Submission,0,,,Gogoplata,Estrangulamento,Finalização
Guard Pass,Transition,Passing,3,,,Passagem de Guarda,Transição,Passagem
Guard Pull,Takedown,Takedown,0,,,Puxada de Guarda,Queda,Queda
Guillotine,Choke,Submission,0,,,Guilhotina,Estrangulamento,Finalização
Half Guard,Pin,Chest to Chest,0,,,Meia Guarda,Alfinete,Peito a Peito
Half Guard Sweep,Transition,Sweep,2,,,Raspagem da Meia-Guarda,Transição,Raspagem
Head & Arm Throw,Takedown,Takedown,2,,,Lançamento de Cabeça e Braço,Queda,Queda
Heel Hook,Leg Lock,Submission,0,,,Chave de Calcanhar,Chave de Perna,Finalização
Hip Bump Sweep,Transition,Sweep,2,,,Raspagem com Quadril,Transição,Raspagem
Hip Throw,Takedown,Takedown,2,,,Arremesso com Quadril,Queda,Queda
Imanari Roll,Takedown,Takedown,2,,,Rolamento Imanari,Queda,Queda
Inside Heel Hook,Leg Lock,Submission,0,,,Chave de Calcanhar Interna,Chave de Perna,Finalização
Inside Trip,Takedown,Takedown,2,,,Trip Interior,Queda,Queda
Inverted Triangle,Strangle,Submission,0,,,Triângulo Invertido,Estrangulamento,Finalização
Japanese Necktie,Strangle,Submission,0,,,Gravata Japonesa,Estrangulamento,Finalização
Kesa Gatame,Joint Lock,Submission,0,,,Kesa Gatame,Chave de Articulação,Finalização
K-Guard Sweep,Transition,Sweep,2,,,Raspagem K-Guard,Transição,Raspagem
Kimura,Joint Lock,Submission,0,,,Kimura,Chave de Articulação,Finalização
Knee Bar,Leg Lock,Submission,0,,,Chave de Joelho,Chave de Perna,Finalização
Knee Crush,Leg Lock,Submission,0,,,Chave de Joelho,Chave de Perna,Finalização
Knee Cut,Transition,Passing,0,,,Corte de Joelho,Transição,Passagem
Knee on Belly,Position,Top Position,2,,,Joelho na Barriga,Posição,Posição Superior
Knee Tap,Takedown,Takedown,2,,,Pegada no joelho,Queda,Queda
Lapel Choke (Back),Choke,Submission,0,,,Estrangulamento com Lapela (Costas),Estrangulamento,Finalização
Lateral throw,Takedown,Takedown,2,,,Arremesso Lateral,Queda,Queda
Leg Lock Attack,Leg Lock,Submission,0,,,Ataque de Chave de Perna,Chave de Perna,Finalização
Loop Choke,Choke,Submission,0,,,Estrangulamento Rodado,Estrangulamento,Finalização
Low Single,Takedown,Takedown,2,,,Single Baixo,Queda,Queda
Lumber Jack Sweep,Transition,Sweep,2,,,Raspagem do Lenhador,Transição,Raspagem
Mikey Lock,Leg Lock,Submission,0,,,Chave Mikey,Chave de Perna,Finalização
Mir Lock,Joint Lock,Submission,0,,,Chave Mir,Chave de Articulação,Finalização
Mothers Milk,Smother,Submission,0,,,Leite de Mãe,Finalização,Finalização
Mount,Pin,Chest to Chest,4,,,Montada,Alfinete,Peito a Peito
North/South,Pin,Chest to Chest,0,,,Norte/Sul,Alfinete,Peito a Peito
North/South Choke,Choke,Submission,0,,,Estrangulamento Norte/Sul,Estrangulamento,Finalização
Omoplata,Joint Lock,Submission,0,,,Omoplata,Chave de Articulação,Finalização
Omoplata Sweep,Transition,Sweep,2,,,Raspagem da Omoplata,Transição,Raspagem
Outside Heel Hook,Leg Lock,Submission,0,,,Chave de Calcanhar Externa,Chave de Perna,Finalização
Outside Trip,Takedown,Takedown,2,,,Trip Exterior,Queda,Queda
Paper Cutter,Choke,Submission,0,,,Chave Paper,Estrangulamento,Finalização
Peruvian Necktie,Strangle,Submission,0,,,Gravata Peruana,Finalização,Finalização
Reverse De La Riva,Position,Bottom Position,0,,,Reverso De La Riva,Posição,Posição Inferior
Reverse Triangle,Strangle,Submission,0,,,Triângulo Reverso,Finalização,Finalização
RNC,Strangle,Submission,0,,,Mata-Leão,Estrangulamento,Finalização
Rubber Guard,Position,Bottom Position,0,,,Guarda Borracha,Posição,Posição Inferior
Scissor Sweep,Transition,Sweep,2,,,Raspagem com Tesoura,Transição,Raspagem
Shin to Shin Guard,Position,Bottom Position,0,,,Guarda de Canela,Posição,Posição Inferior
Shoulder Crunch Sweep,Transition,Sweep,2,,,Raspagem com Compressão de Ombro,Transição,Raspagem
Shoulder Lock,Joint Lock,Submission,0,,,Chave de Ombro,Finalização,Finalização
Side Control,Pin,Chest to Chest,0,,,100 kg,Alfinete,Peito a Peito
Single Leg,Takedown,Takedown,2,,,Baiana em uma perna,Queda,Queda
Single Leg X,Position,Bottom Position,0,,,X de Uma Perna,Posição,Posição Inferior
Slide By,Takedown,Takedown,2,,,Deslizar,Queda,Queda
Snapdown,Takedown,Takedown,2,,,Derrubada Rápida,Queda,Queda
Straight Ankle Lock,Leg Lock,Submission,0,,,Botinha,Chave de Perna,Finalização
Straight Arm Lock,Joint Lock,Submission,0,,,Chave de Braço Reto,Finalização,Finalização
Sweep,Transition,Sweep,2,,,Raspagem,Transição,Raspagem
Tarikoplata,Joint Lock,Submission,0,,,Tarikoplata,Finalização,Finalização
Teepee Choke,Choke,Submission,,,,Estrangulamento de tenda,Estrangulamento,Finalização
Toe Hold,Leg Lock,Submission,0,,,Chave do dedão do pé,Chave de Perna,Finalização
Triangle,Strangle,Submission,0,,,Triângulo,Estrangulamento,Finalização
Triangle Arm Bar,Choke,Submission,0,,,Chave de Triângulo,Estrangulamento,Finalização
Trip,Takedown,Takedown,2,,,Derrubar,Queda,Queda
Turtle Position,Position,Bottom Position,0,,,Guarda Tartaruga,Posição,Posição Inferior
Twister,Spinal Lock,Submission,0,,,Torção,Chave Espinhal,Finalização
Uchi Mata,Takedown,Takedown,2,,,Uchi Mata,Queda,Queda
Wrist Lock,Joint Lock,Submission,0,,,Mao de Vaca,Chave de Articulação,Finalização
X Guard,Position,Bottom Position,0,,,Guarda X,Posição,Posição Inferior
X Pass,Transition,Passing,3,,,Passagem X,Transição,Passagem
